Species,Accession,Rep ,Fruit_num,Date_collected,Diameter_mm,Height_mm,Diam_hgt_ratio,Fresh_weight_grams,notes
SPV,04,C,04,2020-08-28,13.39,12.42,1.08,1.2307,
SPV,04,C,05,2020-09-06,11.41,10.73,1.06,0.7858,"brown calyx, found on ground"
SPV,09,A,01,2020-07-30,18.07,14.69,1.23,2.5183,
SPV,09,A,02,2020-08-26,16.21,14.01,1.16,2.0095,
SPV,09,A,03,2020-08-30,20.11,16.78,1.20,3.5647,
SPV,09,A,04,2020-09-01,16.08,13.58,1.18,1.9529,most seeds brown
SPV,09,A,05,2020-09-12,14.49,12.46,1.16,1.4486,
SPV,09,B,01,2020-08-13,22.05,17.67,1.25,4.4949,
SPV,09,B,02,2020-08-13,19.17,15.71,1.22,3.1414,
SPV,09,B,03,2020-08-20,19.69,16.58,1.19,3.4398,"green calyx, no cracking. Did not fall off at touch. Fruit still firm. Purple coloring."
SPV,09,B,04,2020-08-20,20.09,16.47,1.22,3.5732,"green calyx, fruit cracked at blossom end. Did not fall off at touch. Slightly soft. Purple coloring."
SPV,09,B,06,2020-09-15,16.02,13.55,1.18,1.7919,
SPV,09,C,01,2020-07-30,18.71,15.58,1.20,2.7541,
SPV,09,C,02,2020-09-01,15.61,13.82,1.13,1.8306,most seeds brown
SPV,09,C,03,2020-09-05,13.27,12.07,1.10,1.1413,
SPV,09,C,04,2020-09-08,10.96,9.91,1.11,0.6268,
SPV,09,C,05,2020-09-15,10.24,9.36,1.09,0.5409,
