Sample_name,Species,Accession,Sp_ac,Rep ,Fruit_num,Clr_cat,Phylo_pos,Seed_source,Date_started,Date_planted,Date_first_flower,Days_first_flower,Date_first_ripe_fruit,Days_ripe_fruit,Days_flow_to_fruit,Date_collected,Diameter_mm,Length_mm,Diam_lgth_ratio,Fresh_weight_grams,Seed_count,Scanned_date,Pericarp_frozen_date,Frozen_in,Frozen_method,Ripeness,Include_in_analysis,Notes,Scanned_date,Image_scan_file_name,Perimeter_inside,Area_inside,Width Mid-height_inside,Maximum Width_inside,Height Mid-width_inside,Maximum Height_inside,Curved Height_inside,Lobedness Degree_inside,Tomato Pericarp Area_inside,Tomato Pericarp Area Ratio_inside,Tomato Pericarp Thickness_inside,Tomato Pericarp Thickness Ratio_inside,Average Red_inside,Average Green_inside,Average Blue_inside,Average Luminosity_inside,Average L Value_inside,Average a Value_inside,Average b Value_inside,Average Hue_inside,Average Chroma_inside,Perimeter_outside,Area_outside,Width Mid-height_outside,Maximum Width_outside,Height Mid-width_outside,Maximum Height_outside,Curved Height_outside,Lobedness Degree_outside,Tomato Pericarp Area_outside,Tomato Pericarp Area Ratio_outside,Tomato Pericarp Thickness_outside,Tomato Pericarp Thickness Ratio_outside,Average Red_outside,Average Green_outside,Average Blue_outside,Average Luminosity_outside,Average L Value_outside,Average a Value_outside,Average b Value_outside,Average Hue_outside,Average Chroma_outside
SCM-03-C-05,SCM,03,SCM-03,C,05,grn,5,tgrc,2020-03-22,2020-05-15,2020-06-12,82,2020-07-30,130,48,2020-08-30,15.15,13.77,1.10,1.6803,32,2020-08-30,2020-08-30,foil,placed in -20 freezer,ripe,include,,2020-08-30,scm-03-c-05-400dpi.tmt,778.0681,43115,222,223,238,238,256.4559,1.5168,12609,0.2925,17.3892,0.2027,122.7589,117.4895,65.6945,88.8245,47.5015,-4.1237,29.0151,98.0889,29.3067,766.8255,37789,211,211,221,225,262.1429,1.5081,16928,0.448,24.7894,0.1991,132.1682,122.4624,86.2455,102.7867,49.8006,-0.6039,21.5103,91.6083,21.5187
SCM-11-A-01,SCM,11,SCM-11,A,01,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-08-05,11.94,11.31,1.06,0.8964,11,2020-08-05,2020-08-05,foil,liquid nitrogen,ripe,include,,2020-08-05,scm-11-a-01-400dpi.tmt,626.2275,27709,183,184,191,193,209.9587,1.0299,7779,0.2807,13.2671,0.2077,108.8153,110.1718,63.8452,82.5005,44.2057,-6.3638,25.5603,103.9809,26.3406,624.7716,26100,192,193,172,172,208.2658,2.1846,11744,0.45,21.1442,0.2031,102.4815,101.8602,71.9894,82.9116,41.1858,-3.1495,17.0504,100.4656,17.3388
SCM-11-A-02,SCM,11,SCM-11,A,02,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-08-05,11.47,10.3,1.11,0.7207,25,2020-08-05,2020-08-05,foil,liquid nitrogen,ripe,include,,2020-08-05,scm-11-a-02-400dpi.tmt,577.8427,23962,171,172,176,178,204.2505,1.2321,5948,0.2482,10.9309,0.1988,102.4584,109.8741,67.7343,83.7785,43.6014,-8.4563,22.6016,110.5131,24.1317,617.1148,24622,183,184,164,170,196.3598,1.9121,11102,0.4509,20.2218,0.2077,109.4156,110.7116,84.5366,92.4651,44.4252,-3.482,14.6345,103.3835,15.0431
SCM-11-A-03,SCM,11,SCM-11,A,03,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-08-05,12.14,11.04,1.10,0.8727,61,2020-08-05,2020-08-05,foil,liquid nitrogen,unripe,include,probably not fully ripe,2020-08-05,scm-11-a-03-400dpi.tmt,640.0854,29121,182,183,196,197,229.444,1.7351,6652,0.2284,10.9481,0.2033,115.5028,119.7053,77.2463,92.9016,47.5493,-7.2714,22.9953,107.5476,24.1175,643.2569,27234,178,182,186,190,229.7533,1.4476,12251,0.4498,21.4587,0.2011,117.9782,118.4251,92.2311,99.8983,47.4798,-3.277,14.7584,102.5191,15.1179
SCM-11-A-04,SCM,11,SCM-11,A,04,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-08-13,13.09,11.11,1.18,1.0167,22,2020-08-13,2020-08-13,foil,liquid nitrogen,ripe,include,,2020-08-13,scm-11-a-04-400dpi.tmt,676.3696,32302,194,195,209,209,216.4449,1.6382,10079,0.312,16.0645,0.201,111.1184,113.543,74.3907,89.3385,45.4909,-5.9654,21.6538,105.4023,22.4605,686.1859,31761,193,195,199,202,212.6963,0.9837,14254,0.4488,23.4217,0.2073,122.567,121.991,100.903,105.7107,49.1006,-2.0833,12.222,99.6734,12.3982
SCM-11-A-05,SCM,11,SCM-11,A,05,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-08-13,14.49,12.28,1.18,1.3814,39,2020-08-13,2020-08-13,foil,liquid nitrogen,ripe,include,,2020-08-13,scm-11-a-05-400dpi.tmt,743.1392,39787,215,216,230,230,255.6384,1.3584,11657,0.293,16.8227,0.2047,106.238,106.7618,66.3794,82.9514,42.9916,-5.2127,22.6247,102.9745,23.2175,746.2691,35742,208,209,214,216,258.7533,0.9829,16060,0.4493,24.3141,0.1971,109.2907,113.4571,81.9909,92.24,45.2378,-5.6344,17.2265,108.1118,18.1246
SCM-11-A-06,SCM,11,SCM-11,A,06,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-09-05,13.13,11.58,1.13,1.1143,1,2020-09-05,2020-09-05,foil,liquid nitrogen,ripe,include,,2020-09-05,scm-11-a-06-400dpi.tmt,680.997,33224,212,212,201,201,226.4089,1.2035,8114,0.2442,12.6162,0.2028,99.3567,109.376,63.4474,81.3554,43.1684,-10.0691,24.2596,112.5412,26.2663,701.5412,31103,192,197,195,198,232.6243,1.3537,13963,0.4489,22.3765,0.2031,108.3714,105.1999,78.3962,88.3681,42.8133,-1.6686,15.6888,96.0708,15.7772
SCM-11-A-07,SCM,11,SCM-11,A,07,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-09-12,12.05,11.33,1.06,0.9095,56,2020-09-12,2020-09-12,foil,placed in -20 freezer,ripe,include,,2020-09-12,scm-11-a-07-400dpi.tmt,644.328,29915,188,190,194,195,227.175,1.0336,8362,0.2795,13.9073,0.1968,106.9109,105.8308,69.2883,83.863,42.8266,-3.9861,20.7853,100.856,21.1641,664.2691,29137,189,193,197,198,235.7173,2.254,13110,0.4499,22.0871,0.2011,106.1458,102.7054,74.751,85.6006,41.9092,-1.6254,16.3542,95.6759,16.4347
SCM-11-A-08,SCM,11,SCM-11,A,08,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-02,152,55,2020-09-12,15.07,13.61,1.11,1.6785,48,2020-09-12,2020-09-12,foil,placed in -20 freezer,ripe,include,,2020-09-12,scm-11-a-08-400dpi.tmt,788.1097,44718,233,233,240,240,259.0724,0.9299,16000,0.3578,22.195,0.206,105.6516,108.1821,65.0848,82.6701,43.3733,-6.4017,23.7895,105.0613,24.6358,813.4823,39717,221,225,220,224,257.6112,1.2851,17763,0.4472,24.5348,0.2063,104.9201,102.4186,73.7606,85.0395,41.6964,-2.1849,16.6724,97.4661,16.815
SCM-11-B-01,SCM,11,SCM-11,B,01,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-06,156,59,2020-08-06,13.32,13.11,1.02,1.3598,22,2020-08-06,2020-08-06,foil,placed in -20 freezer,ripe,include,,2020-08-06,scm-11-b-01-400dpi.tmt,702.1686,35130,213,213,209,209,232.6757,0.8636,7968,0.2268,11.9494,0.2066,110.2565,113.0101,67.8151,85.607,45.1451,-6.9047,24.7063,105.6142,25.653,714.4701,32697,203,205,203,204,237.4528,0.8781,14681,0.449,23.1927,0.2069,97.5843,100.0765,71.6122,81.2663,40.2488,-4.2471,15.8588,104.9926,16.4176
SCM-11-B-02,SCM,11,SCM-11,B,02,grn,5,tgrc,2020-03-03,2020-05-04,2020-06-08,97,2020-08-06,156,59,2020-09-12,11.44,10.55,1.08,0.7509,22,2020-09-12,2020-09-12,foil,placed in -20 freezer,unripe,include,"probably not ripe, green calyx and still fairly firm. Did not find any other fruits on this plant except for 2 very small underdeveloped ones which I froze in -20",2020-09-12,scm-11-b-02-400dpi.tmt,596.9727,25586,172,173,181,181,198.3729,1.126,8882,0.3471,16.2511,0.2035,99.7378,110.4524,68.1709,84.0933,43.5315,-9.8957,22.22,114.0059,24.3239,627.7006,26116,176,177,182,183,203.0723,1.4206,11767,0.4506,21.1652,0.1989,122.4737,118.6939,97.0675,103.6172,48.0918,-0.8075,12.9272,93.5742,12.9524
SCM-11-C-01,SCM,11,SCM-11,C,01,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-06-26,15.46,13.57,1.14,1.6802,53,2020-06-26,2020-06-26,foil,liquid nitrogen,ripe,include,,2020-06-26,scm-11-c-01-400dpi.tmt,786.8965,43881,251,251,214,215,248.068,2.6493,12083,0.2754,16.3565,0.1992,99.6014,111.6609,65.9423,83.5823,43.7704,-10.8744,23.7205,114.6285,26.0943,787.725,38659,233,237,201,208,243.9828,3.1631,17314,0.4479,24.5825,0.2128,102.1171,110.5884,75.7699,87.7316,43.704,-7.8434,18.408,113.0782,20.0094
SCM-11-C-02,SCM,11,SCM-11,C,02,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-06-26,15.88,13.7,1.16,1.8149,49,2020-06-26,2020-06-26,foil,liquid nitrogen,ripe,include,,2020-06-26,scm-11-c-02-400dpi.tmt,809.9676,46491,257,257,220,222,246.9969,2.7211,12032,0.2588,15.8117,0.2023,100.0031,111.5476,68.111,84.5547,43.8082,-10.4261,22.7196,114.6505,24.9977,826.7544,41083,248,250,194,200,225.4646,3.869,18366,0.447,24.9688,0.1943,102.5551,109.812,77.0278,88.0437,43.5462,-7.0442,17.4938,111.933,18.8588
SCM-11-C-03,SCM,11,SCM-11,C,03,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-07-10,19.35,17.04,1.14,3.1865,47,2020-07-10,2020-07-10,foil,placed in -20 freezer,ripe,include,,2020-07-10,scm-11-c-03-400dpi.tmt,998.1758,67305,299,299,272,287,312.5056,1.9336,26016,0.3865,28.6517,0.2007,124.1518,122.4485,75.7596,94.6005,49.1357,-5.2317,25.9181,101.412,26.4409,973.0387,57374,295,297,230,234,269.5176,4.159,25587,0.446,29.6342,0.2034,123.6539,120.0856,84.0423,97.9867,48.4265,-3.1097,20.6345,98.5703,20.8675
SCM-11-C-04,SCM,11,SCM-11,C,04,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-07-10,19.28,18.15,1.06,3.7068,58,2020-07-10,2020-07-10,foil,placed in -20 freezer,ripe,include,,2020-07-10,scm-11-c-04-400dpi.tmt,1018.0753,73740,317,317,294,294,319.6,1.4614,21303,0.2889,22.4001,0.2019,121.8952,120.7481,76.2808,93.8994,48.4416,-5.1873,24.7623,101.8316,25.2998,1129.4895,55991,282,282,258,259,345.7905,4.9645,24972,0.446,24.8578,0.2021,122.8379,118.7412,80.261,95.7753,47.9142,-3.2052,22.0364,98.2756,22.2683
SCM-11-C-05,SCM,11,SCM-11,C,05,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-07-17,18.44,16.85,1.09,3.0781,62,2020-07-17,2020-07-17,foil,liquid nitrogen,ripe,include,,2020-07-17,scm-11-c-05-400dpi.tmt,963.992,65724,300,300,269,273,279.758,1.7472,23341,0.3551,26.4275,0.1967,117.0524,120.3996,74.5753,92.2464,47.9236,-7.336,24.897,106.4179,25.9553,941.7077,56153,281,283,244,246,264.5778,2.4194,25053,0.4462,29.8861,0.1993,118.7376,121.3364,87.0338,98.3819,48.3475,-5.4672,18.8886,106.1427,19.6639
SCM-11-C-06,SCM,11,SCM-11,C,06,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-07-17,18.18,16.43,1.11,2.9039,60,2020-07-17,2020-07-17,foil,liquid nitrogen,ripe,include,,2020-07-17,scm-11-c-06-400dpi.tmt,934.5361,62491,292,293,262,262,272.7881,2.0537,21212,0.3394,24.6617,0.2021,109.3143,114.1902,70.61,87.2824,45.4668,-7.6447,23.6463,107.9157,24.8513,942.8204,53796,254,266,259,265,298.6905,2.6959,24031,0.4467,28.7869,0.2008,111.7222,114.8271,85.1481,94.4011,45.8575,-4.9227,16.3873,106.72,17.1108
SCM-11-C-07,SCM,11,SCM-11,C,07,grn,5,tgrc,2020-03-03,2020-05-04,2020-05-11,69,2020-06-26,115,46,2020-09-12,14.04,12.72,1.10,1.5206,39,2020-09-12,2020-09-12,foil,placed in -20 freezer,ripe,include,"brown calyx, quite soft, found on ground",2020-09-12,scm-11-c-07-400dpi.tmt,747.6661,39648,232,233,223,223,242.6625,0.9271,10974,0.2768,15.6407,0.1991,118.8163,117.2483,79.3548,94.1903,47.2227,-4.2617,21.4218,101.2516,21.8416,764.1097,38167,226,229,215,218,258.9828,1.4238,17120,0.4486,25.2585,0.2061,119.9046,116.6938,85.5298,97.2194,47.1902,-2.4452,17.9566,97.7546,18.1223
SCR-07-A-01,SCR,07,SCR-07,A,01,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-06-23,119,75,2020-06-23,19.84,17.66,1.12,3.6409,136,2020-06-23,2020-06-23,foil,liquid nitrogen,ripe,include,,2020-06-23,scr-07-a-01-400dpi.tmt,1024.0753,74982,314,314,297,298,313.1622,1.0348,26574,0.3544,28.3149,0.2006,108.4891,105.7015,65.9924,82.4074,42.8664,-3.6142,22.6999,99.0464,22.9858,982.8204,56176,262,272,245,251,293.5772,1.9466,25030,0.4456,28.5844,0.1992,114.1049,113.3255,83.2402,93.4602,45.6666,-3.298,17.2168,100.8439,17.5298
SCR-07-A-02,SCR,07,SCR-07,A,02,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-06-23,119,75,2020-06-30,18.1,16.45,1.10,2.8569,99,2020-06-30,2020-06-30,foil,liquid nitrogen,ripe,include,,2020-06-30,scr-07-a-02-400dpi.tmt,959.791,64596,285,287,281,285,299.1164,0.7114,18714,0.2897,20.8971,0.2063,103.7367,103.0635,65.8088,80.6069,41.657,-4.1261,21.0876,101.0709,21.4875,980.6194,56985,269,273,263,265,292.4592,0.9948,25421,0.4461,29.1236,0.2037,105.5322,105.1877,72.5246,84.5599,42.3684,-3.6647,18.4694,101.2229,18.8295
SCR-07-A-03,SCR,07,SCR-07,A,03,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-06-23,119,75,2020-06-30,19.42,17.5,1.11,3.5261,135,2020-06-30,2020-06-30,foil,liquid nitrogen,ripe,include,,2020-06-30,scr-07-a-03-400dpi.tmt,1041.6316,75585,313,314,301,304,323.5595,0.7937,23065,0.3052,23.815,0.2045,106.3673,105.9149,68.4037,83.1157,42.7747,-4.3253,21.2059,101.5283,21.6425,1069.0042,63455,290,294,267,273,323.0306,1.769,28252,0.4452,29.7339,0.1966,108.8388,106.2313,76.5873,87.8,43.0155,-2.2956,17.216,97.5951,17.3683
SCR-07-A-04,SCR,07,SCR-07,A,04,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-06-23,119,75,2020-07-03,19.23,17.91,1.07,3.4491,127,2020-07-03,2020-07-03,foil,liquid nitrogen,ripe,include,,2020-07-03,scr-07-a-04-400dpi.tmt,1044.0164,72501,303,306,301,308,331.6415,0.8708,23366,0.3223,24.149,0.202,101.3738,99.1406,62.1172,77.4292,40.2827,-3.3272,21.2182,98.912,21.4775,993.5067,52605,268,275,235,244,306.2462,3.9679,23460,0.446,26.5231,0.1917,106.5437,103.0806,72.5175,84.7217,41.8921,-1.9802,17.8943,96.3147,18.0035
SCR-07-A-05,SCR,07,SCR-07,A,05,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-06-23,119,75,2020-07-03,18.52,16.75,1.11,3.0684,106,2020-07-03,2020-07-03,foil,liquid nitrogen,ripe,include,,2020-07-03,scr-07-a-05-400dpi.tmt,965.2052,66249,291,291,280,281,290.8651,0.9362,19149,0.289,21.2016,0.1993,106.0749,106.52,71.9548,84.9059,42.9479,-4.3688,19.5281,102.6105,20.0108,961.992,54389,263,270,248,252,276.9429,1.9168,24249,0.4458,28.3033,0.2113,109.6888,110.2044,82.5269,91.2308,44.3829,-3.4555,15.7349,102.3861,16.1099
SCR-07-B-01,SCR,07,SCR-07,B,01,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-08,134,90,2020-07-08,16.72,13.65,1.22,2.0282,68,2020-07-08,2020-07-08,foil,liquid nitrogen,ripe,include,,2020-07-08,scr-07-b-01-400dpi.tmt,867.0214,52906,270,273,244,245,261.5072,1.9438,18869,0.3567,23.7413,0.1963,112.6538,114.0307,76.126,90.1334,45.7867,-5.3242,21.0913,104.1676,21.7529,923.8082,51173,257,266,237,240,302.876,2.0414,22864,0.4468,27.8289,0.2023,111.3366,109.1832,89.0953,94.7698,44.3333,-1.0747,11.9465,95.1407,11.9947
SCR-07-B-02,SCR,07,SCR-07,B,02,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-08,134,90,2020-07-08,15.28,12.83,1.19,1.5753,54,2020-07-08,2020-07-08,foil,liquid nitrogen,ripe,include,,2020-07-08,scr-07-b-02-400dpi.tmt,786.5534,44293,242,242,224,227,249.1281,1.4677,15851,0.3579,22.0053,0.2025,121.9124,122.4924,86.5153,99.0696,49.116,-4.8573,20.1247,103.5694,20.7026,843.926,45173,239,243,224,226,247.9434,1.8855,20181,0.4467,26.8985,0.2008,120.9875,115.5868,98.0298,103.3197,47.2058,0.5506,11.0384,87.1443,11.0521
SCR-07-B-03,SCR,07,SCR-07,B,03,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-08,134,90,2020-07-08,15.81,13.15,1.20,1.7593,58,2020-07-08,2020-07-08,foil,liquid nitrogen,ripe,include,,2020-07-08,scr-07-b-03-400dpi.tmt,824.6955,48882,258,258,233,233,240.0864,1.8095,18139,0.3711,24.0988,0.1977,118.57,120.4851,79.8316,94.7787,48.175,-6.0136,22.4026,105.0259,23.1957,891.524,45411,244,251,219,223,252.0724,2.604,20293,0.4469,25.5952,0.2008,107.5449,105.5552,83.1656,90.2086,42.8785,-1.4746,13.1915,96.3783,13.2737
SCR-07-B-04,SCR,07,SCR-07,B,04,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-08,134,90,2020-08-06,17.25,13.31,1.30,2.1972,65,2020-08-06,2020-08-06,foil,placed in -20 freezer,ripe,include,3 locules,2020-08-06,scr-07-b-04-400dpi.tmt,904.3768,58832,277,277,272,272,282.6898,1.1228,21801,0.3706,26.277,0.2022,115.3138,117.6321,79.7777,93.4528,47.0978,-5.7886,20.9381,105.4542,21.7235,911.992,53519,267,272,255,257,269.763,1.509,23887,0.4463,29.5097,0.2022,115.1311,114.3115,88.3933,96.4184,46.1771,-2.6948,14.9357,100.2276,15.1769
SCR-07-B-05,SCR,07,SCR-07,B,05,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-08,134,90,2020-08-06,17.28,14.47,1.19,2.3091,82,2020-08-06,2020-08-06,foil,placed in -20 freezer,ripe,include,,2020-08-06,scr-07-b-05-400dpi.tmt,905.2224,57442,246,248,282,282,287.7859,2.541,25650,0.4465,31.9912,0.1992,116.4966,113.7413,75.1211,90.5865,46.0334,-3.6185,22.0214,99.3312,22.3167,969.7494,47569,232,234,241,253,311.1593,2.6708,21229,0.4463,24.5506,0.2026,112.1963,103.8635,81.9501,91.4341,42.8352,1.2914,13.8655,84.6788,13.9255
SCR-07-C-01,SCR,07,SCR-07,C,01,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-07-07,15.25,12.75,1.20,1.5638,55,2020-07-07,2020-07-07,foil,liquid nitrogen,ripe,include,,2020-07-07,scr-07-c-01-400dpi.tmt,802.796,45517,249,250,225,225,241.362,1.991,20345,0.447,28.4225,0.204,127.6561,124.5612,88.5595,102.0336,50.2718,-3.2835,20.526,99.0885,20.7869,825.926,42958,241,242,216,218,250.3238,2.2988,19200,0.4469,26.1105,0.1992,111.1564,108.0143,93.1129,96.233,44.0793,0.1638,9.2926,88.9901,9.294
SCR-07-C-02,SCR,07,SCR-07,C,02,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-07-07,13.84,11.37,1.22,1.1657,45,2020-07-07,2020-07-07,foil,liquid nitrogen,ripe,include,,2020-07-07,scr-07-c-02-400dpi.tmt,716.1686,36578,226,227,201,201,225.1171,2.002,18553,0.5072,29.8029,0.1991,127.7454,124.4699,84.7926,100.3313,50.1795,-3.5947,22.3895,99.1212,22.6762,745.5412,36235,226,230,195,198,230.6243,2.6137,16259,0.4487,24.6302,0.1991,111.3436,106.8379,96.2301,97.7283,43.8382,1.5157,7.1044,77.9567,7.2643
SCR-07-C-03,SCR,07,SCR-07,C,03,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-08-07,13.1,11.38,1.15,1.1531,19,2020-08-07,2020-08-07,foil,placed in -20 freezer,unripe,include,"may not be a fully developed fruit, probably should be thrown out of analysis",2020-08-07,scr-07-c-03-400dpi.tmt,702.7544,35028,209,210,211,211,238.5204,0.5406,18254,0.5211,30.1647,0.201,113.3459,113.346,71.2633,87.5852,45.6184,-5.2001,23.3292,102.5659,23.9017,798.4529,32871,203,205,205,207,253.279,1.3984,14755,0.4489,20.8674,0.2069,97.8474,88.295,71.6673,79.772,36.9819,3.0102,11.1537,74.8967,11.5528
SCR-07-C-04,SCR,07,SCR-07,C,04,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-08-07,16.27,14.48,1.12,2.1209,47,2020-08-07,2020-08-07,foil,placed in -20 freezer,ripe,include,,2020-08-07,scr-07-c-04-400dpi.tmt,854.7372,52228,249,250,261,261,277.1575,1.1606,24179,0.463,32.0975,0.2008,107.1275,106.0591,71.1065,84.5678,43.0137,-3.7339,19.9209,100.6161,20.2678,908.0509,42812,225,227,225,236,281.1544,2.3043,19134,0.4469,23.8664,0.2044,92.6713,89.2536,72.8135,78.1952,36.7815,0.3489,10.1587,88.0328,10.1647
SCR-07-C-05,SCR,07,SCR-07,C,05,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-09-06,13.31,10.91,1.22,1.0821,2,2020-09-06,2020-09-06,foil,placed in -20 freezer,unripe,include,probably unripe since seeds weren't matured,2020-09-06,scr-07-c-05-400dpi.tmt,717.4407,35287,201,203,217,218,234.6625,1.5874,17898,0.5072,28.704,0.199,106.143,109.0677,74.4324,86.7153,43.8539,-5.4321,19.1138,105.8651,19.8707,732.9554,34164,194,200,215,216,251.3391,2.1135,15317,0.4483,23.4941,0.1969,98.6824,93.6767,78.1969,83.3162,38.7068,1.0649,9.8291,83.8164,9.8867
SCR-07-C-06,SCR,07,SCR-07,C,06,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-09-12,12.66,10.98,1.15,1.0294,43,2020-09-12,2020-09-12,foil,placed in -20 freezer,unripe,include,"brown calyx, slightly soft. none of the seeds were mature",2020-09-12,scr-07-c-06-400dpi.tmt,695.1392,33633,204,205,207,208,219.34,0.5279,17074,0.5077,28.1129,0.201,109.696,111.5834,78.4562,89.851,44.9226,-4.8516,18.4176,104.7576,19.0458,690.2691,31968,195,197,206,206,229.7828,1.3566,14351,0.4489,23.4597,0.2051,106.0748,97.5657,82.2708,88.6388,40.6094,2.527,10.2431,76.1416,10.5502
SCR-07-C-07,SCR,07,SCR-07,C,07,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-09-12,11.81,10.47,1.13,0.8518,37,2020-09-12,2020-09-12,foil,placed in -20 freezer,unripe,include,"brown calyx, slightly soft. none of the seeds were mature",2020-09-12,scr-07-c-07-400dpi.tmt,652.9138,29851,184,186,198,199,215.4734,1.6238,14330,0.4801,24.9691,0.2011,125.2905,126.2021,93.376,103.879,50.5708,-4.6047,18.2998,104.124,18.8702,668.9138,29951,182,185,200,200,213.9609,2.1401,13467,0.4496,22.765,0.2033,121.3285,113.8194,99.2764,103.8206,46.8809,1.8712,9.7199,79.1033,9.8983
SCR-07-C-08,SCR,07,SCR-07,C,08,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-09-15,15.32,12.49,1.23,1.6168,50,2020-09-15,2020-09-15,foil,placed in -20 freezer,ripe,include,,2020-09-15,scr-07-c-08-400dpi.tmt,808.1097,45495,225,228,247,248,285.0833,1.8227,20342,0.4471,28.2461,0.2044,120.2076,115.5068,83.02,95.7639,47.0157,-1.9751,18.9044,95.9645,19.0073,873.5067,38507,204,214,212,232,280.2408,2.8572,17198,0.4466,22.0722,0.2126,109.0318,99.0416,89.701,93.5028,41.3936,4.1761,7.2165,59.9424,8.3377
SCR-07-C-09,SCR,07,SCR-07,C,09,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-09,44,2020-07-07,133,89,2020-09-15,13.42,10.92,1.23,1.1293,82,2020-09-15,2020-09-15,foil,placed in -20 freezer,ripe,include,,2020-09-15,scr-07-c-09-400dpi.tmt,724.2691,36658,207,209,219,220,227.6187,0.9971,19087,0.5207,30.4785,0.2029,119.349,118.6837,79.7216,94.2214,47.753,-4.6579,21.727,102.1,22.2206,738.6539,30447,185,192,200,201,244.6976,1.719,13663,0.4487,20.8357,0.2054,94.6999,85.7571,68.6185,76.9569,35.8813,2.7331,11.3164,76.4221,11.6418
SCR-08-A-01,SCR,08,SCR-08,A,01,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-19,54,2020-07-03,129,75,2020-07-03,18.23,17.08,1.07,2.9042,56,2020-07-03,2020-07-03,foil,liquid nitrogen,ripe,include,,2020-07-03,scr-08-a-01-400dpi.tmt,958.0336,64680,291,293,281,281,292.8252,0.8521,21956,0.3395,24.7924,0.1993,114.0185,113.5404,82.9737,93.6343,45.8348,-3.4523,17.4966,101.1617,17.8339,920.7372,54256,267,267,257,258,294.0829,0.9578,24221,0.4464,29.4788,0.2022,124.5485,119.0732,100.8941,106.1224,48.4787,0.4154,11.3549,87.9048,11.3625
SCR-08-A-02,SCR,08,SCR-08,A,02,grn,10,tgrc,2020-02-25,2020-05-04,2020-04-19,54,2020-07-03,129,75,2020-07-03,19.14,18.65,1.03,3.6391,73,2020-07-03,2020-07-03,foil,liquid nitrogen,ripe,include,,2020-07-03,scr-08-a-02-400dpi.tmt,1043.8154,75413,314,315,310,311,324.4638,0.6459,27833,0.3691,29.1895,0.2006,114.6425,113.4902,85.0773,94.7399,45.8462,-2.8343,16.4048,99.8023,16.6478,991.6072,58801,272,275,269,273,306.8379,0.8887,26231,0.4461,29.8386,0.1993,124.1587,115.3063,93.3754,102.3938,47.29,1.2937,13.8855,84.6774,13.9456
