Sample_name,Species,Accession,Sp_ac,Rep ,Fruit_num,Clr_cat,Phylo_pos,Seed_source,Date_started,Date_planted,Date_first_flower,Days_first_flower,Date_first_ripe_fruit,Days_ripe_fruit,Days_flow_to_fruit,Date_collected,Diameter_mm,Length_mm,Diam_lgth_ratio,Fresh_weight_grams,Seed_count,Scanned_date,Pericarp_frozen_date,Frozen_in,Frozen_method,Ripeness,Include_in_analysis,Notes,Scanned_date,Image_scan_file_name,Perimeter_inside,Area_inside,Width Mid-height_inside,Maximum Width_inside,Height Mid-width_inside,Maximum Height_inside,Curved Height_inside,Lobedness Degree_inside,Tomato Pericarp Area_inside,Tomato Pericarp Area Ratio_inside,Tomato Pericarp Thickness_inside,Tomato Pericarp Thickness Ratio_inside,Average Red_inside,Average Green_inside,Average Blue_inside,Average Luminosity_inside,Average L Value_inside,Average a Value_inside,Average b Value_inside,Average Hue_inside,Average Chroma_inside,Perimeter_outside,Area_outside,Width Mid-height_outside,Maximum Width_outside,Height Mid-width_outside,Maximum Height_outside,Curved Height_outside,Lobedness Degree_outside,Tomato Pericarp Area_outside,Tomato Pericarp Area Ratio_outside,Tomato Pericarp Thickness_outside,Tomato Pericarp Thickness Ratio_outside,Average Red_outside,Average Green_outside,Average Blue_outside,Average Luminosity_outside,Average L Value_outside,Average a Value_outside,Average b Value_outside,Average Hue_outside,Average Chroma_outside
SA-05-C-01,SA,05,SA-05,C,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-10,129,70,2020-07-10,15.31,13.28,1.15,1.5782,30,2020-07-10,2020-07-10,foil,placed in -20 freezer,ripe,include,,2020-07-10,sa-05-c-01-400dpi.tmt,780.1097,43318,238,239,226,227,251.2975,0.9818,11950,0.2759,16.3311,0.1975,110.5121,118.5432,74.3966,90.9341,46.8454,-9.0692,23.4226,111.1663,25.1171,838.0681,39961,226,230,216,220,266.0877,1.5673,17893,0.4478,24.1417,0.2026,115.3194,114.7348,89.5562,97.482,46.2591,-2.6005,14.4233,100.2206,14.6558
SA-05-C-02,SA,05,SA-05,C,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-10,129,70,2020-07-10,14.69,11.72,1.25,1.2588,29,2020-07-10,2020-07-10,foil,placed in -20 freezer,ripe,include,,2020-07-10,sa-05-c-02-400dpi.tmt,707.6833,35631,228,229,189,191,218.0811,2.9853,11634,0.3265,17.8465,0.1974,88.3906,100.985,59.1706,75.3908,39.7032,-10.4879,21.8033,115.6887,24.1947,734.7128,34022,223,226,181,185,223.9074,3.624,15252,0.4483,23.2897,0.2063,104.7301,106.7947,83.8437,90.3417,42.986,-3.2225,12.8413,104.0872,13.2395
SA-05-C-03,SA,05,SA-05,C,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-10,129,70,2020-07-10,13.91,12.05,1.15,1.2165,18,2020-07-10,2020-07-10,foil,placed in -20 freezer,ripe,include,,2020-07-10,sa-05-c-03-400dpi.tmt,701.926,35148,223,223,199,199,220.6046,1.8982,10932,0.311,16.8163,0.2027,107.9129,112.7717,68.8028,85.7567,44.8996,-7.5876,23.7996,107.683,24.9799,747.7422,34028,209,209,198,201,234.161,1.7824,15264,0.4486,23.0136,0.201,112.0209,111.4241,89.7297,95.7048,45.0055,-2.0057,12.5515,99.0791,12.7108
SA-05-C-04,SA,05,SA-05,C,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-10,129,70,2020-07-14,14.17,12.3,1.15,1.2996,43,2020-07-14,2020-07-14,foil,placed in -20 freezer,ripe,include,,2020-07-14,sa-05-c-04-400dpi.tmt,721.9676,37268,223,224,209,210,232.175,1.2345,11562,0.3102,17.2597,0.2098,104.5708,113.9674,61.9487,82.8385,44.8867,-10.539,27.2954,111.112,29.2594,729.926,34439,214,216,196,197,232.8538,1.8889,15452,0.4487,23.806,0.2009,101.9002,105.562,77.8192,86.7167,42.3045,-4.6941,15.2667,107.0912,15.972
SA-05-C-05,SA,05,SA-05,C,05,grn,6,tgrc,2020-03-03,2020-05-04,2020-05-01,59,2020-07-10,129,70,2020-07-14,14.41,11.86,1.22,1.2439,43,2020-07-14,2020-07-14,foil,placed in -20 freezer,ripe,include,,2020-07-14,sa-05-c-05-400dpi.tmt,717.5828,36305,226,226,200,204,231.7248,2.2343,10070,0.2774,15.0067,0.1991,80.3003,91.933,53.0954,68.2778,36.2424,-9.5267,20.3398,115.0974,22.4603,731.0559,33582,221,221,181,188,224.3106,3.4532,15065,0.4486,23.2869,0.1918,103.9416,106.5355,84.0266,90.0889,42.8244,-3.3632,12.4923,105.068,12.9371
SA-09-A-01,SA,09,SA-09,A,01,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-06-19,22.53,18.99,1.19,5.0487,143,2020-06-19,2020-06-19,foil,placed in -80 freezer,ripe,include,,2020-06-19,sa-09-a-01-400dpi.tmt,1179.1291,98938,366,368,333,334,358.8982,1.5844,39592,0.4002,37.3608,0.1995,116.0151,111.7367,78.1094,91.564,45.5024,-2.1949,19.6199,96.3833,19.7423,1143.8326,73517,301,311,289,290,340.4105,2.1479,32701,0.4448,32.1471,0.1993,125.7442,123.5557,107.7091,110.1639,50.0157,-0.6187,9.7393,93.6348,9.7589
SA-09-A-02,SA,09,SA-09,A,02,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-06-19,22.59,18.96,1.19,5.1261,155,2020-06-19,2020-06-19,foil,placed in -80 freezer,ripe,include,,2020-06-19,sa-09-a-02-400dpi.tmt,1168.5433,97230,365,366,331,331,347.761,1.6595,34362,0.3534,32.1768,0.2027,119.2368,113.6965,78.3044,93.0629,46.3404,-1.9058,20.6834,95.2646,20.771,1072.791,72355,311,315,280,283,304.1174,2.0044,32228,0.4454,33.8325,0.1994,123.2086,120.2214,103.4719,106.8115,48.8165,-0.4082,10.3091,92.2675,10.3172
SA-09-A-03,SA,09,SA-09,A,03,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-07-08,19.45,16.86,1.15,3.2994,63,2020-07-08,2020-07-08,foil,liquid nitrogen,ripe,include,,2020-07-08,sa-09-a-03-400dpi.tmt,1024.5605,74124,318,318,290,291,307.029,1.5866,30856,0.4163,33.3338,0.1981,117.0643,115.9784,85.4267,96.0417,46.8955,-3.1896,17.5432,100.3045,17.8308,1017.3646,64680,294,296,267,269,307.0379,1.9146,28821,0.4456,31.9423,0.2007,117.4783,114.023,103.8792,104.2523,46.5757,1.0538,6.7751,81.1587,6.8566
SA-09-A-04,SA,09,SA-09,A,04,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-07-08,22.78,18.65,1.22,5.1087,142,2020-07-08,2020-07-08,foil,liquid nitrogen,ripe,include,,2020-07-08,sa-09-a-04-400dpi.tmt,1191.656,100460,371,372,339,341,370.4271,1.4303,33873,0.3372,30.705,0.1995,105.203,107.5604,77.4338,87.6801,43.301,-4.5327,16.9009,105.0131,17.4982,1169.389,80923,334,336,296,301,333.2137,2.3259,35986,0.4447,34.4809,0.203,119.1332,114.5332,96.7906,101.6823,46.7317,0.1742,11.0592,89.0976,11.0606
SA-09-A-05,SA,09,SA-09,A,05,grn,6,tgrc,2020-03-03,2020-05-04,2020-04-16,44,2020-06-19,108,64,2020-07-30,24.04,19.67,1.22,6.0954,143,2020-07-30,2020-07-30,foil,liquid nitrogen,ripe,include,,2020-07-30,sa-09-a-05-400dpi.tmt,1238.6266,107537,388,391,350,350,366.5517,1.7725,29086,0.2705,25.0648,0.1985,106.2635,103.7583,75.0628,85.7485,42.3319,-2.1978,16.7981,97.454,16.9413,1221.2712,71610,317,322,285,288,340.0812,3.1898,31882,0.4452,29.3193,0.2019,108.2267,101.4491,82.4419,89.7507,41.8877,1.0976,12.0694,84.8036,12.1192
