species,clr_cat,accession,bed ,replicate,fruit_number,fruit_id,ripeness,date_collected,brix,pH,seeds_per_fruit,diameter_mm,height_mm,diam_ht_ratio,fresh_weight,dry_weight,water_content_grams,water_content_percent,scanned_date,perimeter_inner,lobedness_degree_inner,pericarp_area_inner,pericarp_thickness_inner,fruit_and_surface,avg_red_outer,avg_green_outer,avg_blue_outer,avg_luminosity_outer,avg_L_value_outer,avg_a_value_outer,avg_b_value_outer,avg_hue_outer,avg_chroma_outer
SH,grn,SH-5,N,SH-5-N,07,SH-5-N-7,,08-26-2019,,,97,16.73,13.8,1.21,,,,,08-26-2019,815.524,2.5109,0.7251,0.1412,sh-5-n-7-out,103.083,110.9414,77.5689,88.8328,43.9636,-8.4472,17.6757,115.5431,19.5904
SH,grn,SH-5,N,SH-5-N,08,SH-5-N-8,,08-26-2019,,,69,13.95,12.08,1.15,,,,,08-26-2019,722.6539,0.9349,0.6275,0.2037,sh-5-n-8-out,117.7421,119.1719,90.4227,99.4704,47.6971,-5.4845,16.0015,108.919,16.9153
SH,grn,SH-5,N,SH-5-N,09,SH-5-N-9,,09-08-2019,,,,17.55,15.01,1.17,2.4198,0.254,2.1661,89.5031,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,10,SH-5-N-10,,09-15-2019,,,,17.97,14.67,1.22,2.4776,0.2403,2.2371,90.3011,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,11,SH-5-N-11,,09-15-2019,,,80,19.45,16.31,1.19,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,12,SH-5-N-12,,09-15-2019,,,76,19.01,15.49,1.23,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,13,SH-5-N-13,,09-15-2019,,,73,19.07,15.61,1.22,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,14,SH-5-N-14,,09-15-2019,7.5,,,,,,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,15,SH-5-N-15,,09-15-2019,7.2,,,,,,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,16,SH-5-N-16,,09-15-2019,7.1,,,,,,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,17,SH-5-N-17,,09-15-2019,7.1,,,,,,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,N,SH-5-N,18,SH-5-N-18,,09-15-2019,7,,,,,,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,S,SH-5-S,01,SH-5-S-1,,09-02-2019,,,,11.71,10.48,1.12,0.799,0.0773,0.7221,90.3251,,,,,,,,,,,,,,,
SH,grn,SH-5,S,SH-5-S,02,SH-5-S-2,,09-15-2019,,,,14.37,13.1,1.10,1.4381,0.1616,1.2771,88.7631,,,,,,,,,,,,,,,
SH,grn,SH-5,S,SH-5-S,03,SH-5-S-3,,09-15-2019,,,,11.17,9.86,1.13,0.663,0.0585,0.6051,91.1761,,,,,,,,,,,,,,,
SH,grn,SH-5,S,SH-5-S,04,SH-5-S-4,,09-15-2019,,,54,13.14,11.37,1.16,,,,,09-08-2019,651.6417,1.7775,0.7061,0.1564,sh-5-s-4-out,110.3392,117.9927,80.2248,93.4487,46.5322,-9.0942,19.9698,114.4845,21.943
SH,grn,SH-5,S,SH-5-S,05,SH-5-S-5,,09-15-2019,,,51,13.28,11.68,1.14,,,,,09-08-2019,658.127,1.4216,0.672,0.1777,sh-5-s-5-out,105.335,114.4454,75.5192,89.54,45.0234,-9.7759,20.4399,115.5606,22.6574
SH,grn,SH-5,S,SH-5-S,06,SH-5-S-6,,09-18-2019,,,45,12.25,10.58,1.16,,,,,09-18-2019,624.4285,1.6749,0.6415,0.1922,sh-5-s-6-out,107.8512,113.1239,77.891,90.0827,44.8693,-7.7922,18.9598,112.3419,20.4986
SH,grn,SH-5,S,SH-5-S,07,SH-5-S-7,unripe,09-18-2019,,,64,11.66,10.33,1.13,,,,,,,,,,,,,,,,,,,
SH,grn,SH-5,S,SH-5-S,08,SH-5-S-8,unripe,09-18-2019,,,40,11.13,9.8,1.14,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,01,SL-B62-N-1,,08-10-2019,,,,43.82,48.5,0.90,48.2577,2.8523,45.4051,94.0891,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,02,SL-B62-N-2,,08-10-2019,,,,38.25,47.25,0.81,36.8062,2.2743,34.5321,93.8211,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,03,SL-B62-N-3,,08-10-2019,,,,29.7,39.59,0.75,18.8148,1.3167,17.4981,93.0021,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,04,SL-B62-N-4,,08-10-2019,,,112,46.14,51,0.90,,,,,08-11-2019,2362.714,0.6217,0.6184,0.2404,sl-b62-n-4-out,116.5975,58.8765,47.629,77.274,31.1787,22.1184,17.924,39.0201,28.4691
SL,roy,SL-B62,N,SL-B62-N,05,SL-B62-N-5,,08-10-2019,,,61,37.95,43.96,0.86,,,,,08-11-2019,1960.3221,1.2639,0.5805,0.2437,sl-b62-n-5-out,108.4864,54.8616,45.3765,72.3744,28.9634,20.9422,16.0958,37.5452,26.4131
SL,roy,SL-B62,N,SL-B62-N,06,SL-B62-N-6,,08-10-2019,,,27,38.19,45.46,0.84,,,,,08-11-2019,1979.3931,0.7108,0.5004,0.2963,sl-b62-n-6-out,119.7834,65.3701,48.2364,79.0619,33.1234,20.0045,20.1338,45.1846,28.3822
SL,roy,SL-B62,N,SL-B62-N,07,SL-B62-N-7,,08-10-2019,6.8,4.6,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,08,SL-B62-N-8,,08-10-2019,6.5,4.7,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,N,SL-B62-N,09,SL-B62-N-9,,08-10-2019,6.1,,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,01,SL-B62-S-1,,08-10-2019,,,,44.95,53.48,0.84,55.7095,3.4023,52.3071,93.8931,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,02,SL-B62-S-2,,08-10-2019,,,,37.06,40.1,0.92,26.8986,1.7585,25.1401,93.4621,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,03,SL-B62-S-3,,08-10-2019,,,,35.19,40.77,0.86,26.7574,1.8364,24.9211,93.1371,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,04,SL-B62-S-4,,08-10-2019,,,129,47.72,49.98,0.95,,,,,08-11-2019,2522.0765,0.8111,0.6371,0.1988,sl-b62-s-4-out,110.6965,53.5575,43.5733,72.5716,29.0521,22.322,17.3876,37.9167,28.2949
SL,roy,SL-B62,S,SL-B62-S,05,SL-B62-S-5,,08-10-2019,,,48,41.66,46.87,0.89,,,,,08-11-2019,2182.0449,0.8163,0.5335,0.2686,sl-b62-s-5-out,111.6689,55.7299,42.824,72.6899,29.6357,21.5286,18.5578,40.7616,28.4231
SL,roy,SL-B62,S,SL-B62-S,06,SL-B62-S-6,,08-10-2019,,,7,32.64,35.73,0.91,,,,,08-11-2019,1732.9424,1.3007,0.4698,0.3176,sl-b62-s-6-out,111.3837,60.5106,46.7192,74.3864,30.6976,19.201,17.6735,42.628,26.0966
SL,roy,SL-B62,S,SL-B62-S,07,SL-B62-S-7,,08-10-2019,7.5,4.7,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,08,SL-B62-S-8,,08-10-2019,6.6,4.7,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-B62,S,SL-B62-S,09,SL-B62-S-9,,08-10-2019,6.6,4.7,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,01,SL-SAK-N-1,,07-25-2019,,,,32.02,28.73,1.11,17.1387,1.0624,16.0761,93.8011,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,02,SL-SAK-N-2,,07-25-2019,,,,36,32.29,1.11,23.7003,1.57,22.1301,93.3761,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,03,SL-SAK-N-3,,07-25-2019,,,,29.73,26.12,1.14,13.8045,0.8208,12.9841,94.0541,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,04,SL-SAK-N-4,,08-06-2019,,,118,34.54,30.5,1.13,,,,,08-07-2019,1865.4936,0.5452,0.5986,0.2324,sl-sak-n-4-out,118.5202,58.6493,46.7257,77.7399,31.4641,22.8943,18.9662,39.6392,29.7299
SL,roy,SL-SAK,N,SL-SAK-N,05,SL-SAK-N-5,,08-06-2019,,,72,34.86,30.81,1.13,,,,,08-07-2019,1800.2561,0.9163,0.6523,0.2019,sl-sak-n-5-out,121.0818,60.9093,45.7992,78.5302,32.3189,22.6528,20.6566,42.361,30.6568
SL,roy,SL-SAK,N,SL-SAK-N,06,SL-SAK-N-6,,08-06-2019,,,84,33.04,30.58,1.08,,,,,08-07-2019,1717.6286,0.7449,0.6537,0.1936,sl-sak-n-6-out,121.4297,63.4035,45.1813,78.3984,32.8634,21.4865,21.6769,45.2528,30.5215
SL,roy,SL-SAK,N,SL-SAK-N,07,SL-SAK-N-7,,08-06-2019,7.1,4,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,08,SL-SAK-N-8,,08-06-2019,7,3.5,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,N,SL-SAK-N,09,SL-SAK-N-9,,08-06-2019,6.9,,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,01,SL-SAK-S-1,,07-25-2019,,,,35.08,31.73,1.11,21.7122,1.3988,20.3131,93.5581,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,02,SL-SAK-S-2,,07-25-2019,,,,37.94,33.5,1.13,26.4621,1.8923,24.5701,92.8491,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,03,SL-SAK-S-3,,07-25-2019,,,,36.74,31.68,1.16,24.4979,1.6716,22.8261,93.1771,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,04,SL-SAK-S-4,,08-07-2019,,,73,33.88,29.59,1.14,,,,,08-08-2019,1749.2439,1.2141,0.5582,0.251,sl-sak-s-4-out,113.1665,51.4889,41.2373,72.6494,28.9644,24.1222,18.7688,37.8855,30.5638
SL,roy,SL-SAK,S,SL-SAK-S,05,SL-SAK-S-5,,08-07-2019,,,47,33.27,30.02,1.11,,,,,08-08-2019,1732.1139,2.406,0.548,0.2647,sl-sak-s-5-out,115.3989,53.0146,39.909,73.0755,29.6409,24.1043,20.4221,40.2726,31.5924
SL,roy,SL-SAK,S,SL-SAK-S,06,SL-SAK-S-6,,08-07-2019,,,80,29.72,28.23,1.05,,,,,08-08-2019,1544.3322,1.7139,0.5579,0.2511,sl-sak-s-6-out,112.3943,53.1913,41.5587,72.4415,29.2188,23.0415,18.8615,39.3033,29.777
SL,roy,SL-SAK,S,SL-SAK-S,07,SL-SAK-S-7,,08-07-2019,6.9,4,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,08,SL-SAK-S-8,,08-07-2019,6.2,4,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,09,SL-SAK-S-9,,08-07-2019,6.8,4,,,,,,,,,,,,,,,,,,,,,,,
SL,roy,SL-SAK,S,SL-SAK-S,10,SL-SAK-S-10,,08-07-2019,6.4,4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,01,SLC-10-N-1,,07-23-2019,,,,19.84,18.11,1.10,4.0805,0.2843,3.7961,93.0331,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,02,SLC-10-N-2,,07-23-2019,,,,16.25,14.43,1.13,2.1535,0.1322,2.0211,93.8611,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,03,SLC-10-N-3,,07-23-2019,,,,20.1,18.1,1.11,4.1901,0.3201,3.8701,92.3611,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,04,SLC-10-N-4,,07-23-2019,,,,,, ,,,,,07-30-2019,984.1758,1.3518,0.7646,0.1207,slc-10-n-4-out,111.9355,54.2535,42.4774,72.6634,29.3667,22.4015,18.5352,39.6046,29.0754
SLC,roy,SLC-10,N,SLC-10-N,05,SLC-10-N-5,,07-23-2019,,,,,, ,,,,,07-30-2019,989.8915,2.6367,0.6639,0.194,slc-10-n-5-out,110.8708,55.3272,42.388,72.1204,29.435,21.461,18.6592,41.0053,28.4384
SLC,roy,SLC-10,N,SLC-10-N,06,SLC-10-N-6,,07-23-2019,,,,,, ,,,,,07-30-2019,1029.9747,2.8034,0.7109,0.1506,slc-10-n-6-out,109.2818,53.7704,40.2895,70.384,28.8112,21.5084,19.0099,41.4715,28.7051
SLC,roy,SLC-10,N,SLC-10-N,07,SLC-10-N-7,,07-23-2019,,,49,17.45,16.11,1.08,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,08,SLC-10-N-8,,07-23-2019,,,51,19.33,16.73,1.16,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,09,SLC-10-N-9,,07-23-2019,,,59,20.07,17.27,1.16,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,10,SLC-10-N-10,,08-06-2019,5.2,4.7,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,11,SLC-10-N-11,,08-06-2019,4.9,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,12,SLC-10-N-12,,08-06-2019,5.1,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,N,SLC-10-N,13,SLC-10-N-13,,08-06-2019,4.8,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,01,SLC-10-S-1,,07-23-2019,,,,19.43,17.97,1.08,3.7233,0.2525,3.4711,93.2181,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,02,SLC-10-S-2,,07-23-2019,,,,19.3,17.49,1.10,3.6219,0.2624,3.3601,92.7551,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,03,SLC-10-S-3,,07-23-2019,,,,19.72,17.57,1.12,3.5995,0.1804,3.4191,94.9881,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,04,SLC-10-S-4,,07-23-2019,,,,,, ,,,,,07-30-2019,1011.4478,2.8746,0.6774,0.1738,slc-10-s-4-out,117.2844,61.5372,43.5767,75.6957,31.8116,20.7492,21.1504,45.5486,29.6289
SLC,roy,SLC-10,S,SLC-10-S,05,SLC-10-S-5,,07-23-2019,,,,,, ,,,,,07-30-2019,967.3057,2.2747,0.6863,0.1755,slc-10-s-5-out,98.1734,50.7531,41.6839,65.7916,26.4337,18.9189,14.6528,37.7581,23.9297
SLC,roy,SLC-10,S,SLC-10-S,06,SLC-10-S-6,,07-23-2019,,,,,, ,,,,,07-30-2019,971.5067,2.2971,0.6451,0.1944,slc-10-s-6-out,103.0691,53.3133,43.0934,68.7748,27.7999,19.6057,15.8266,38.912,25.1965
SLC,roy,SLC-10,S,SLC-10-S,07,SLC-10-S-7,,07-23-2019,,,31,18.19,16.52,1.10,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,08,SLC-10-S-8,,07-23-2019,,,45,18.69,17.22,1.09,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,09,SLC-10-S-9,,07-23-2019,,,13,14.54,12.65,1.15,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,10,SLC-10-S-10,,08-07-2019,3.8,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,11,SLC-10-S-11,,08-07-2019,4.3,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,12,SLC-10-S-12,,08-07-2019,5.2,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,13,SLC-10-S-13,,08-07-2019,4.5,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,14,SLC-10-S-14,,08-07-2019,3.9,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-10,S,SLC-10-S,15,SLC-10-S-15,,08-07-2019,4.1,5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,01,SLC-B01-N-1,,07-23-2019,,,,19.16,18.15,1.06,3.7274,0.2809,3.4471,92.4641,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,02,SLC-B01-N-2,,07-23-2019,,,,14.89,13.81,1.08,1.7776,0.1036,1.6741,94.1721,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,03,SLC-B01-N-3,,07-23-2019,,,,19.65,19.82,0.99,4.5931,0.4206,4.1731,90.8431,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,04,SLC-B01-N-4,,07-23-2019,,,,,, ,,,,,07-30-2019,1125.2296,1.1769,0.6377,0.198,slc-b01-n-4-out,99.3905,48.1343,41.1477,66.1268,26.0225,20.7326,14.538,35.0386,25.3218
SLC,roy,SLC-B01,N,SLC-B01-N,05,SLC-B01-N-5,,07-23-2019,,,,,, ,,,,,07-30-2019,1081.4306,1.7208,0.6787,0.1729,slc-b01-n-5-out,104.2107,52.226,43.8478,69.6594,27.7793,20.6647,15.4128,36.7174,25.7795
SLC,roy,SLC-B01,N,SLC-B01-N,06,SLC-B01-N-6,,07-23-2019,,,,,, ,,,,,07-30-2019,1006.6194,2.1085,0.6471,0.1984,slc-b01-n-6-out,100.886,48.1379,40.6492,66.5939,26.2544,21.2693,15.2061,35.5622,26.1459
SLC,roy,SLC-B01,N,SLC-B01-N,07,SLC-B01-N-7,,07-23-2019,,,64,19.2,19.2,1.00,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,08,SLC-B01-N-8,,07-23-2019,,,71,20.5,18.34,1.12,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,09,SLC-B01-N-9,,07-23-2019,,,8,13.78,13.6,1.01,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,10,SLC-B01-N-10,,08-06-2019,5.8,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,11,SLC-B01-N-11,,08-06-2019,5.6,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,12,SLC-B01-N-12,,08-06-2019,5.4,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,13,SLC-B01-N-13,,08-06-2019,5.4,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,N,SLC-B01-N,14,SLC-B01-N-14,,08-06-2019,5.9,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,01,SLC-B01-S-1,,07-23-2019,,,,19.89,18.35,1.08,4.0297,0.2611,3.7691,93.5211,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,02,SLC-B01-S-2,,07-23-2019,,,,18.65,16.86,1.11,3.3657,0.2465,3.1191,92.6761,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,03,SLC-B01-S-3,,07-23-2019,,,,20.42,19.07,1.07,4.4861,0.3582,4.1281,92.0151,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,04,SLC-B01-S-4,,07-23-2019,,,,,, ,,,,,07-30-2019,1065.6316,1.8871,0.7014,0.1673,slc-b01-s-4-out,102.6398,45.2102,38.7818,66.5319,25.8854,23.3066,15.8895,34.2846,28.2076
SLC,roy,SLC-B01,S,SLC-B01-S,05,SLC-B01-S-5,,07-23-2019,,,,,, ,,,,,07-30-2019,1035.2296,1.6071,0.678,0.1714,slc-b01-s-5-out,102.4172,50.9092,44.4976,69.1131,27.1898,20.6855,14.2231,34.5118,25.1035
SLC,roy,SLC-B01,S,SLC-B01-S,06,SLC-B01-S-6,,07-23-2019,,,,,, ,,,,,07-30-2019,775.4234,0.8103,0.6145,0.2115,slc-b01-s-6-out,98.7419,46.4677,39.968,65.2474,25.5378,21.2369,14.5865,34.4832,25.7638
SLC,roy,SLC-B01,S,SLC-B01-S,07,SLC-B01-S-7,,07-23-2019,,,62,20.35,18.68,1.09,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,08,SLC-B01-S-8,,07-23-2019,,,70,18.55,17.66,1.05,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,09,SLC-B01-S-9,,07-23-2019,,,66,20.88,18.89,1.11,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,10,SLC-B01-S-10,,08-07-2019,5.5,4.2,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,11,SLC-B01-S-11,,08-07-2019,5.5,4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,12,SLC-B01-S-12,,08-07-2019,5.5,4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,13,SLC-B01-S-13,,08-07-2019,5.7,4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B01,S,SLC-B01-S,14,SLC-B01-S-14,,08-07-2019,5.7,4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,01,SLC-B59-N-1,,07-23-2019,,,,20.41,16.41,1.24,3.7353,0.2242,3.5111,93.9981,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,02,SLC-B59-N-2,,07-23-2019,,,,21.88,18.53,1.18,4.5518,0.2908,4.2611,93.6111,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,03,SLC-B59-N-3,,07-23-2019,,,,23.52,19.76,1.19,5.7598,0.3872,5.3731,93.2781,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,04,SLC-B59-N-4,,07-23-2019,,,,,, ,,,,,07-30-2019,1184.46,2.9894,0.7455,0.1317,slc-b59-n-4-out,105.2925,49.5971,44.142,70.2955,27.3697,22.4798,14.7663,33.2997,26.8959
SLC,roy,SLC-B59,N,SLC-B59-N,05,SLC-B59-N-5,,07-23-2019,,,,,, ,,,,,07-30-2019,1182.7027,3.1445,0.7089,0.1605,slc-b59-n-5-out,105.823,50.6223,45.7206,71.2719,27.7183,22.2891,14.3414,32.7583,26.5043
SLC,roy,SLC-B59,N,SLC-B59-N,06,SLC-B59-N-6,,07-23-2019,,,,,, ,,,,,07-30-2019,914.3768,1.2923,0.63,0.2029,slc-b59-n-6-out,95.4817,49.0878,44.3395,65.7554,25.7027,19.0345,12.112,32.4692,22.5613
SLC,roy,SLC-B59,N,SLC-B59-N,07,SLC-B59-N-7,,07-23-2019,,,55,23.29,20.49,1.14,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,08,SLC-B59-N-8,,07-23-2019,,,59,22.03,20.91,1.05,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,09,SLC-B59-N-9,,07-23-2019,,,11,17.7,16.13,1.10,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,10,SLC-B59-N-10,,08-06-2019,5.2,,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,11,SLC-B59-N-11,,08-06-2019,5,,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,12,SLC-B59-N-12,,08-06-2019,5.8,,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,13,SLC-B59-N-13,,08-06-2019,5,,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,N,SLC-B59-N,14,SLC-B59-N-14,,08-06-2019,5.8,,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,01,SLC-B59-S-1,,07-23-2019,,,,26.05,21.51,1.21,7.9186,0.5971,7.3221,92.4601,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,02,SLC-B59-S-2,,07-23-2019,,,,25.17,21.08,1.19,7.3806,0.5418,6.8391,92.6591,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,03,SLC-B59-S-3,,07-23-2019,,,,24.21,21.25,1.14,7.1475,0.4953,6.6521,93.0701,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,04,SLC-B59-S-4,,07-23-2019,,,,,, ,,,,,07-30-2019,1264.9697,1.8911,0.6964,0.164,slc-b59-s-4-out,109.4397,52.0281,46.0624,73.1537,28.6314,22.9373,15.5335,34.1065,27.7022
SLC,roy,SLC-B59,S,SLC-B59-S,05,SLC-B59-S-5,,07-23-2019,,,,,, ,,,,,07-30-2019,1117.1291,1.1934,0.6952,0.1647,slc-b59-s-5-out,105.6917,50.3471,44.693,70.7398,27.6224,22.3171,14.9065,33.7406,26.8377
SLC,roy,SLC-B59,S,SLC-B59-S,06,SLC-B59-S-6,,07-23-2019,,,,,, ,,,,,07-30-2019,1219.7981,2.0537,0.7126,0.1544,slc-b59-s-6-out,106.3646,51.6319,45.7856,71.5726,28.0482,21.999,14.8487,34.0182,26.5413
SLC,roy,SLC-B59,S,SLC-B59-S,07,SLC-B59-S-7,,08-07-2019,,,85,25.37,22.73,1.12,,,,,08-08-2019,1309.455,1.5833,0.6972,0.1641,slc-b59-s-7-out,108.8481,49.7761,43.0102,71.4558,27.9384,23.6004,16.2886,34.6128,28.6758
SLC,roy,SLC-B59,S,SLC-B59-S,08,SLC-B59-S-8,,08-07-2019,,,37,22.28,18.65,1.19,,,,,08-08-2019,1151.9575,2.5557,0.7807,0.1137,slc-b59-s-8-out,97.1429,45.4236,39.5705,64.3158,25.0519,21.1448,14.1816,33.8493,25.4601
SLC,roy,SLC-B59,S,SLC-B59-S,09,SLC-B59-S-9,,08-07-2019,,,31,20.57,19.95,1.03,,,,,08-08-2019,1093.6732,0.8262,0.6312,0.204,slc-b59-s-9-out,98.5837,46.5859,41.7938,66.0021,25.5668,21.228,13.5122,32.4779,25.1636
SLC,roy,SLC-B59,S,SLC-B59-S,10,SLC-B59-S-10,,08-07-2019,3.4,4.5,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,11,SLC-B59-S-11,,08-07-2019,4.6,4.4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,12,SLC-B59-S-12,,08-07-2019,4.5,4.4,,,,,,,,,,,,,,,,,,,,,,,
SLC,roy,SLC-B59,S,SLC-B59-S,13,SLC-B59-S-13,,08-07-2019,5.1,4.3,,,,,,,,,,,,,,,,,,,,,,,
